名称,类型,默认显示,描述,表格类型
ts_code,str,Y,TS代码,income
ann_date,str,Y,公告日期,income
f_ann_date,str,Y,实际公告日期,income
end_date,str,Y,报告期,income
report_type,str,Y,报告类型 1合并报表 2单季合并 3调整单季合并表 4调整合并报表 5调整前合并报表 6母公司报表 7母公司单季表 8 母公司调整单季表 9母公司调整表 10母公司调整前报表 11调整前合并报表 12母公司调整前报表,income
comp_type,str,Y,公司类型(1一般工商业2银行3保险4证券),income
basic_eps,float,Y,基本每股收益,income
diluted_eps,float,Y,稀释每股收益,income
total_revenue,float,Y,营业总收入,income
revenue,float,Y,营业收入,income
int_income,float,Y,利息收入,income
prem_earned,float,Y,已赚保费,income
comm_income,float,Y,手续费及佣金收入,income
n_commis_income,float,Y,手续费及佣金净收入,income
n_oth_income,float,Y,其他经营净收益,income
n_oth_b_income,float,Y,加:其他业务净收益,income
prem_income,float,Y,保险业务收入,income
out_prem,float,Y,减:分出保费,income
une_prem_reser,float,Y,提取未到期责任准备金,income
reins_income,float,Y,其中:分保费收入,income
n_sec_tb_income,float,Y,代理买卖证券业务净收入,income
n_sec_uw_income,float,Y,证券承销业务净收入,income
n_asset_mg_income,float,Y,受托客户资产管理业务净收入,income
oth_b_income,float,Y,其他业务收入,income
fv_value_chg_gain,float,Y,加:公允价值变动净收益,income
invest_income,float,Y,加:投资净收益,income
ass_invest_income,float,Y,其中:对联营企业和合营企业的投资收益,income
forex_gain,float,Y,加:汇兑净收益,income
total_cogs,float,Y,营业总成本,income
oper_cost,float,Y,减:营业成本,income
int_exp,float,Y,减:利息支出,income
comm_exp,float,Y,减:手续费及佣金支出,income
biz_tax_surchg,float,Y,减:营业税金及附加,income
sell_exp,float,Y,减:销售费用,income
admin_exp,float,Y,减:管理费用,income
fin_exp,float,Y,减:财务费用,income
assets_impair_loss,float,Y,减:资产减值损失,income
prem_refund,float,Y,退保金,income
compens_payout,float,Y,赔付总支出,income
reser_insur_liab,float,Y,提取保险责任准备金,income
